google_link,lon,lat,co_entidade,no_entidade,code_muni,name_muni,SearchedAddress,MatchedAddress,PrecisionDepth,geocode_engine,n_vizinhos
"https://www.google.com/maps/@-23.5826574,-46.749982,19z",-46.749982,-23.5826574,35057034,CEU CEI BUTANTA,3550308,Sao Paulo,"ENGENHEIRO HEITOR ANTONIO EIRAS GARCIA, 1870 JARDIM ESMERALDA. 05564-000 São Paulo - SP.","Av. Eng. Heitor Antônio Eiras García, 1870 - Jardim Esmeralda, São Paulo - SP, 05371, Brazil",street_number,gmaps_prob1,3
"https://www.google.com/maps/@-23.5826574,-46.749982,19z",-46.749982,-23.5826574,35455714,CEU AT COMPL BUTANTA - ELIZABETH GASPAR TUNALA PROFA,3550308,Sao Paulo,"ENGENHEIRO HEITOR ANTONIO EIRAS GARCIA, 1870 JARDIM ESMERALDA. 05588-001 São Paulo - SP.","Av. Eng. Heitor Antônio Eiras García, 1870 - Jardim Esmeralda, São Paulo - SP, 05371, Brazil",street_number,gmaps_prob1,3
"https://www.google.com/maps/@-23.6467,-46.7444,19z",-46.7444,-23.6467,35060331,CEU EMEF CASA BLANCA,3550308,Sao Paulo,"JOAO DAMASCENO, 85 VILA DAS BELEZAS. 05841-160 São Paulo - SP.","JOAO DAMASCENO, 85 VILA DAS BELEZAS. 05841-160 São Paulo - SP.",inep,inep,3
"https://www.google.com/maps/@-23.6467,-46.7444,19z",-46.7444,-23.6467,35060550,CEU CEI CASA BLANCA,3550308,Sao Paulo,"JOAO DAMASCENO, 85 VILA DAS BELEZAS. 05841-160 São Paulo - SP.","JOAO DAMASCENO, 85 VILA DAS BELEZAS. 05841-160 São Paulo - SP.",inep,inep,3
"https://www.google.com/maps/@-23.4480549,-46.6888521,19z",-46.6888521,-23.4480549,35060948,CEU EMEI PAZ,3550308,Sao Paulo,"DANIEL CERRI, 1549 JARDIM PARANA. 02876-170 São Paulo - SP.","Rua Daniel Cerri, 1549 - Jardim Paraná, São Paulo - SP, 02879-140, Brazil",street_number,gmaps_prob1,3
"https://www.google.com/maps/@-23.4480549,-46.6888521,19z",-46.6888521,-23.4480549,35060963,CEU CEI PAZ,3550308,Sao Paulo,"DANIEL CERRI, 1549 JARDIM PARANA. 02876-170 São Paulo - SP.","Rua Daniel Cerri, 1549 - Jardim Paraná, São Paulo - SP, 02879-140, Brazil",street_number,gmaps_prob1,3
"https://www.google.com/maps/@-23.4480549,-46.6888521,19z",-46.6888521,-23.4480549,35090591,CEU EMEF TEOTONIO VILELA SEN,3550308,Sao Paulo,"DANIEL CERRI, 1549 JARDIM PARANA. 02876-170 São Paulo - SP.","Rua Daniel Cerri, 1549 - Jardim Paraná, São Paulo - SP, 02879-140, Brazil",street_number,gmaps_prob1,3
"https://www.google.com/maps/@-23.4480549,-46.6888521,19z",-46.6888521,-23.4480549,35455805,CEU AT COMPL PAZ,3550308,Sao Paulo,"DANIEL CERRI, 1549 JARDIM PARANA. 02876-170 São Paulo - SP.","Rua Daniel Cerri, 1549 - Jardim Paraná, São Paulo - SP, 02879-140, Brazil",street_number,gmaps_prob1,3
"https://www.google.com/maps/@-23.6679742,-46.6354068,19z",-46.6354068,-23.6679742,35381044,CEU CEI CAMINHO DO MAR,3550308,Sao Paulo,"ENGENHEIRO ARMANDO DE ARRUDA PEREIRA, 5241 VILA DO ENCONTRO. 04325-001 São Paulo - SP.","Av. Eng. Armando de Arruda Pereira, 5241 - Vila do Encontro, São Paulo - SP, 04413, Brazil",street_number,gmaps_prob1,3
"https://www.google.com/maps/@-23.6679742,-46.6354068,19z",-46.6354068,-23.6679742,35381081,CEU EMEI CAMINHO DO MAR,3550308,Sao Paulo,"ENGENHEIRO ARMANDO DE ARRUDA PEREIRA, 5241 VILA DO ENCONTRO. 04325-001 São Paulo - SP.","Av. Eng. Armando de Arruda Pereira, 5241 - Vila do Encontro, São Paulo - SP, 04413, Brazil",street_number,gmaps_prob1,3
